Geographic Level,Week_ending,Urbanicity,No Vaccination,Yes Vaccination
National,01/06/2024 12:00:00 AM,Rural (Non-MSA),59939.541,36581.459
National,01/06/2024 12:00:00 AM,Suburban (MSA Non-Principal City),132340.86,106111.14
National,01/06/2024 12:00:00 AM,Urban MSA Principal City,103944.202,79702.798
National,01/13/2024 12:00:00 AM,Rural (Non-MSA),59746.498999999996,36774.501000000004
National,01/13/2024 12:00:00 AM,Suburban (MSA Non-Principal City),131148.59999999998,107303.40000000001
National,01/13/2024 12:00:00 AM,Urban MSA Principal City,103576.908,80070.092
National,01/20/2024 12:00:00 AM,Rural (Non-MSA),59167.373,37353.627
National,01/20/2024 12:00:00 AM,Suburban (MSA Non-Principal City),130433.244,108018.756
National,01/20/2024 12:00:00 AM,Urban MSA Principal City,102107.732,81539.268
National,01/27/2024 12:00:00 AM,Rural (Non-MSA),58877.81,37643.19
National,01/27/2024 12:00:00 AM,Suburban (MSA Non-Principal City),129956.34,108495.66
National,01/27/2024 12:00:00 AM,Urban MSA Principal City,101005.84999999999,82641.15000000001
National,02/03/2024 12:00:00 AM,Rural (Non-MSA),58298.684,38222.316
National,02/03/2024 12:00:00 AM,Suburban (MSA Non-Principal City),129479.436,108972.564
National,02/03/2024 12:00:00 AM,Urban MSA Principal City,99169.37999999999,84477.62000000001
National,02/10/2024 12:00:00 AM,Rural (Non-MSA),58009.12100000001,38511.87899999999
National,02/10/2024 12:00:00 AM,Suburban (MSA Non-Principal City),129002.532,109449.468
National,02/10/2024 12:00:00 AM,Urban MSA Principal City,99169.37999999999,84477.62000000001
National,02/17/2024 12:00:00 AM,Rural (Non-MSA),58009.12100000001,38511.87899999999
National,02/17/2024 12:00:00 AM,Suburban (MSA Non-Principal City),128525.628,109926.372
National,02/17/2024 12:00:00 AM,Urban MSA Principal City,98985.733,84661.267
National,02/24/2024 12:00:00 AM,Rural (Non-MSA),57623.037000000004,38897.962999999996
National,02/24/2024 12:00:00 AM,Suburban (MSA Non-Principal City),128048.724,110403.276
National,02/24/2024 12:00:00 AM,Urban MSA Principal City,98618.43900000001,85028.56099999999
National,03/02/2024 12:00:00 AM,Rural (Non-MSA),57140.432,39380.568
National,03/02/2024 12:00:00 AM,Suburban (MSA Non-Principal City),126379.56000000001,112072.43999999999
National,03/02/2024 12:00:00 AM,Urban MSA Principal City,96781.969,86865.031
National,03/09/2024 12:00:00 AM,Rural (Non-MSA),57043.911,39477.089
National,03/09/2024 12:00:00 AM,Suburban (MSA Non-Principal City),126141.108,112310.892
National,03/09/2024 12:00:00 AM,Urban MSA Principal City,96598.322,87048.678
National,03/16/2024 12:00:00 AM,Rural (Non-MSA),57043.911,39477.089
National,03/16/2024 12:00:00 AM,Suburban (MSA Non-Principal City),126141.108,112310.892
National,03/16/2024 12:00:00 AM,Urban MSA Principal City,96414.675,87232.325
National,03/23/2024 12:00:00 AM,Rural (Non-MSA),56947.39,39573.61
National,03/23/2024 12:00:00 AM,Suburban (MSA Non-Principal City),125902.65599999999,112549.34400000001
National,03/23/2024 12:00:00 AM,Urban MSA Principal City,96047.381,87599.619
National,03/31/2024 12:00:00 AM,Rural (Non-MSA),56947.39,39573.61
National,03/31/2024 12:00:00 AM,Suburban (MSA Non-Principal City),125902.65599999999,112549.34400000001
National,03/31/2024 12:00:00 AM,Urban MSA Principal City,95863.734,87783.266
National,08/24/2024 12:00:00 AM,Rural (Non-MSA),20665.125,529.875
National,08/24/2024 12:00:00 AM,Suburban (MSA Non-Principal City),49521.912,1637.088
National,08/24/2024 12:00:00 AM,Urban MSA Principal City,32269.248,1066.752
National,08/31/2024 12:00:00 AM,Rural (Non-MSA),20559.15,635.85
National,08/31/2024 12:00:00 AM,Suburban (MSA Non-Principal City),49317.276,1841.7240000000002
National,08/31/2024 12:00:00 AM,Urban MSA Principal City,32169.239999999998,1166.7600000000002
National,09/07/2024 12:00:00 AM,Rural (Non-MSA),20410.785,784.2150000000001
National,09/07/2024 12:00:00 AM,Suburban (MSA Non-Principal City),48498.732,2660.268
National,09/07/2024 12:00:00 AM,Urban MSA Principal City,31435.847999999998,1900.152
National,09/14/2024 12:00:00 AM,Rural (Non-MSA),20135.25,1059.75
National,09/14/2024 12:00:00 AM,Suburban (MSA Non-Principal City),47219.757,3939.243
National,09/14/2024 12:00:00 AM,Urban MSA Principal City,30802.464,2533.536
National,09/21/2024 12:00:00 AM,Rural (Non-MSA),19711.35,1483.65
National,09/21/2024 12:00:00 AM,Suburban (MSA Non-Principal City),45838.464,5320.536
National,09/21/2024 12:00:00 AM,Urban MSA Principal City,29835.72,3500.2799999999997
National,09/28/2024 12:00:00 AM,Rural (Non-MSA),19499.4,1695.6000000000001
National,09/28/2024 12:00:00 AM,Suburban (MSA Non-Principal City),44866.443,6292.557000000001
National,09/28/2024 12:00:00 AM,Urban MSA Principal City,28935.648,4400.352
National,09/30/2023 12:00:00 AM,Rural (Non-MSA),86096.732,10424.268000000002
National,09/30/2023 12:00:00 AM,Suburban (MSA Non-Principal City),204353.364,34098.636000000006
National,09/30/2023 12:00:00 AM,Urban MSA Principal City,157201.832,26445.168
National,10/05/2024 12:00:00 AM,Rural (Non-MSA),18164.114999999998,3030.885
National,10/05/2024 12:00:00 AM,Suburban (MSA Non-Principal City),40876.041,10282.959
National,10/05/2024 12:00:00 AM,Urban MSA Principal City,27102.167999999998,6233.832
National,10/07/2023 12:00:00 AM,Rural (Non-MSA),83683.707,12837.293000000001
National,10/07/2023 12:00:00 AM,Suburban (MSA Non-Principal City),198153.612,40298.388
National,10/07/2023 12:00:00 AM,Urban MSA Principal City,151508.775,32138.225
National,10/12/2024 12:00:00 AM,Rural (Non-MSA),17422.29,3772.7100000000005
National,10/12/2024 12:00:00 AM,Suburban (MSA Non-Principal City),39392.43,11766.57
National,10/12/2024 12:00:00 AM,Urban MSA Principal City,26135.424,7200.576000000001
National,10/14/2023 12:00:00 AM,Rural (Non-MSA),79726.346,16794.654
National,10/14/2023 12:00:00 AM,Suburban (MSA Non-Principal City),185992.56,52459.44
National,10/14/2023 12:00:00 AM,Urban MSA Principal City,145264.777,38382.223
National,10/19/2024 12:00:00 AM,Rural (Non-MSA),17083.17,4111.83
National,10/19/2024 12:00:00 AM,Suburban (MSA Non-Principal City),37806.501000000004,13352.499
National,10/19/2024 12:00:00 AM,Urban MSA Principal City,25268.688000000002,8067.312
National,10/21/2023 12:00:00 AM,Rural (Non-MSA),76830.716,19690.284
National,10/21/2023 12:00:00 AM,Suburban (MSA Non-Principal City),175977.576,62474.424
National,10/21/2023 12:00:00 AM,Urban MSA Principal City,139755.367,43891.633
National,10/28/2023 12:00:00 AM,Rural (Non-MSA),74417.691,22103.308999999997
National,10/28/2023 12:00:00 AM,Suburban (MSA Non-Principal City),170016.276,68435.72399999999
National,10/28/2023 12:00:00 AM,Urban MSA Principal City,135347.839,48299.161
National,11/04/2023 12:00:00 AM,Rural (Non-MSA),69881.204,26639.796000000002
National,11/04/2023 12:00:00 AM,Suburban (MSA Non-Principal City),159285.936,79166.064
National,11/04/2023 12:00:00 AM,Urban MSA Principal City,125798.195,57848.805
National,11/11/2023 12:00:00 AM,Rural (Non-MSA),69012.515,27508.484999999997
National,11/11/2023 12:00:00 AM,Suburban (MSA Non-Principal City),154993.8,83458.2
National,11/11/2023 12:00:00 AM,Urban MSA Principal City,122125.255,61521.745
National,11/18/2023 12:00:00 AM,Rural (Non-MSA),66985.574,29535.426
National,11/18/2023 12:00:00 AM,Suburban (MSA Non-Principal City),150940.11599999998,87511.884
National,11/18/2023 12:00:00 AM,Urban MSA Principal City,118635.962,65011.03799999999
National,11/25/2023 12:00:00 AM,Rural (Non-MSA),66696.011,29824.989
National,11/25/2023 12:00:00 AM,Suburban (MSA Non-Principal City),149032.5,89419.5
National,11/25/2023 12:00:00 AM,Urban MSA Principal City,116983.139,66663.861
National,12/02/2023 12:00:00 AM,Rural (Non-MSA),62449.087,34071.913
National,12/02/2023 12:00:00 AM,Suburban (MSA Non-Principal City),141640.488,96811.512
National,12/02/2023 12:00:00 AM,Urban MSA Principal City,110922.788,72724.212
National,12/09/2023 12:00:00 AM,Rural (Non-MSA),61869.961,34651.039
National,12/09/2023 12:00:00 AM,Suburban (MSA Non-Principal City),139494.41999999998,98957.58
National,12/09/2023 12:00:00 AM,Urban MSA Principal City,108351.73000000001,75295.26999999999
National,12/16/2023 12:00:00 AM,Rural (Non-MSA),61676.919,34844.081
National,12/16/2023 12:00:00 AM,Suburban (MSA Non-Principal City),138779.064,99672.936
National,12/16/2023 12:00:00 AM,Urban MSA Principal City,104678.79000000001,78968.20999999999
National,12/23/2023 12:00:00 AM,Rural (Non-MSA),59939.541,36581.459
National,12/23/2023 12:00:00 AM,Suburban (MSA Non-Principal City),137109.90000000002,101342.09999999999
National,12/23/2023 12:00:00 AM,Urban MSA Principal City,104127.849,79519.151
National,12/30/2023 12:00:00 AM,Rural (Non-MSA),59939.541,36581.459
National,12/30/2023 12:00:00 AM,Suburban (MSA Non-Principal City),135440.73599999998,103011.26400000001
National,12/30/2023 12:00:00 AM,Urban MSA Principal City,103944.202,79702.798
